galaxy,R_kpc,Vobs_kms,log_gobs_a0,log_gbar_a0
ESO563-G021,33.91,313.0,-0.10777406124223256,-0.6685058994488681
ESO563-G021,35.65,320.0,-0.11029452410511563,-0.7124458278125632
ESO563-G021,37.3,321.0,-0.1272337135559867,-0.7502948945516136
ESO563-G021,39.03,320.0,-0.14963354119847996,-0.7921457701244173
ESO563-G021,40.76,315.0,-0.18214801431223104,-0.8322435193754555
ESO563-G021,42.41,312.0,-0.20769403097986724,-0.8669305180703245
F561-1,1.61,23.4,-1.0369291077686071,-1.1354659797612014
F561-1,3.23,40.6,-0.8606854017337578,-1.165062164713921
F561-1,4.84,45.5,-0.9373575148872308,-1.2485393389739818
F561-1,6.45,49.2,-0.9941644556575904,-1.2298241311231557
F561-1,8.06,50.4,-1.0700089154710832,-1.2073378043137204
F561-1,9.66,50.4,-1.148651000081486,-1.2358029159118682
F563-1,1.07,22.1,-0.9091341768720315,-1.3639955852196246
F563-1,1.78,42.7,-0.5580991988158895,-1.3184290179910816
F563-1,2.49,60.6,-0.39978904532020726,-1.3458354473047742
F563-1,2.97,76.8,-0.27056895581123164,-1.378148911909507
F563-1,3.04,81.6,-0.22802821265807474,-1.3869733167132812
F563-1,3.19,87.0,-0.1932871243769873,-1.4015484621283447
F563-1,6.95,90.0,-0.5020347322685075,-1.53251450442962
F563-1,8.58,97.8,-0.5213445248305458,-1.5269016898776482
F563-1,9.26,93.7,-0.5916667514634211,-1.5209554198451132
F563-1,9.89,103.0,-0.5380567887438783,-1.5128872322518345
F563-1,10.08,97.4,-0.5948775649093186,-1.5080834898363207
F563-1,11.84,106.5,-0.5871874333944311,-1.5154545392225152
F563-1,14.56,112.0,-0.6332602761936984,-1.6321503222263694
F563-1,15.43,111.5,-0.6623511378518325,-1.6573079105388415
F563-1,17.93,111.0,-0.7314692785459112,-1.6795553397326863
F563-1,19.02,112.5,-0.7454404142636758,-1.6883967463332894
F563-1,20.1,106.0,-0.8211192734479916,-1.697828871150704
F563-V1,1.31,12.0,-1.5274437501175577,-1.7673701241283082
F563-V1,2.63,21.7,-1.315571227349742,-1.6169114980529558
F563-V1,3.93,28.6,-1.2501954306743839,-1.4962428036341333
F563-V1,5.24,29.5,-1.3482222015844438,-1.5371513086537685
F563-V1,6.55,28.6,-1.4720441802907402,-1.591520715413012
F563-V1,7.87,27.3,-1.5921843848345958,-1.6326569505488329
F563-V2,0.28,11.9,-0.864599055114201,-1.7093387300315348
F563-V2,0.87,34.8,-0.4248957112824999,-1.292761194608345
F563-V2,1.46,58.5,-0.1985760701771195,-1.1327158241386979
F563-V2,2.05,81.5,-0.05797359013284428,-1.054244601063648
F563-V2,2.35,91.8,-0.013917446426294623,-1.0481101487960058
F563-V2,4.76,114.0,-0.1323321966045912,-1.135072306304817
F563-V2,7.86,116.0,-0.33504151414261424,-1.1573991517415274
F563-V2,8.7,117.0,-0.3716824756833385,-1.1334178404480693
F563-V2,10.18,118.0,-0.4325187099455324,-1.2160736157714414
F563-V2,10.47,118.0,-0.4447176136236349,-1.2306517293666632
F565-V2,1.26,21.7,-0.9959860239775472,-1.680034525609961
F565-V2,2.51,40.3,-0.7575985757558624,-1.5483743903712959
F565-V2,3.78,57.7,-0.6236751200828057,-1.5429649625597281
F565-V2,5.03,68.5,-0.5987217886281195,-1.5695528451943135
