galaxy,R_kpc,Vobs_kms,log_gobs_a0,log_gbar_a0,g_obs_a0,g_bar_a0,upsilon_dyn,log_upsilon,gc_exact_a0,gc_dmond_a0,log_gc_exact,log_gc_dmond
ESO444-G084,0.26,18.3,-0.4586061150670023,-1.2384635765365888,0.3478515035860209,0.05774793027887952,6.023618541931409,0.7798574614695866,1.752277671399978,2.0953247668394757,0.24360292694716587,0.32125134640258435
ESO444-G084,0.77,35.3,-0.3594762609538799,-1.0698225139304038,0.4370425676774318,0.08514859496403392,5.1327043959097045,0.7103462529765239,1.8132468274293854,2.243210308317619,0.2584569262655271,0.350869992022644
ESO444-G084,1.29,47.8,-0.3202688636320544,-1.1035808594653496,0.47833387304058844,0.07878057395542779,6.071723637241061,0.7833119958332951,2.432531641006132,2.904311083433606,0.38605849803596765,0.46304313220124077
ESO444-G084,1.81,52.8,-0.3809456763586032,-1.1677835902671074,0.4159626378462618,0.06795421653655599,6.121218947796927,0.7868379139085042,2.135889596953707,2.5461983803601287,0.3295788004759204,0.40589223754990095
ESO444-G084,2.32,58.0,-0.4071669443220683,-1.2536807993996428,0.3915913190956132,0.05575954234941382,7.022857480460111,0.8465138550775746,2.363139857172457,2.7500900245938693,0.3734894251452171,0.4393469107555063
ESO444-G084,3.39,63.1,-0.4986759262718568,-1.5520531402846154,0.31719335002019816,0.028050903860160726,11.307776448183967,1.0533772140127586,3.2718947164856376,3.58675149287897,0.5147993204317509,0.5547012877409018
ESO444-G084,4.44,62.7,-0.6213828350102303,-1.8264276505739487,0.23912069537859468,0.014913251756796185,16.03410840761968,1.2050448155637186,3.5962089701646787,3.8340871522057896,0.5558449199779171,0.5836619805534882
NGC1705,0.22,50.2,0.4904498069107891,-0.1445200916247752,3.093497767315701,0.716935207472201,4.314891687664328,0.6349698985355642,10.31414756464545,13.348107801998678,1.0134333405720337,1.1254197054463533
NGC1705,0.66,62.2,0.1995018872827254,-0.3141418636500772,1.5830764461545157,0.48513000504444925,3.2632004404870174,0.5136437509328026,3.6229775726701794,5.165895756416038,0.5590656456283177,0.713145638215528
NGC1705,1.11,72.4,0.105619207050593,-0.515309149101379,1.2753201073517368,0.30527472655271853,4.177614445038244,0.6209283561519721,4.077820214741511,5.32779570252034,0.6104280744419063,0.7265475632025651
NGC1705,1.55,73.2,-0.029844482610551,-0.7266255982429227,0.9335885515599012,0.18766116226045843,4.974862887527874,0.6967811156323717,3.726485617964196,4.644475037376256,0.5712994494490439,0.6669366330218207
NGC1705,2.0,72.9,-0.1441098855850752,-0.9067913846291716,0.717612697281006,0.12393917911656999,5.790039133679119,0.7626814990440964,3.447702629978498,4.155005600082051,0.5375298001547645,0.6185716134590212
NGC1705,2.45,72.6,-0.2358277895213883,-1.0717597536799628,0.580994753282588,0.08476962194930798,6.85380847433791,0.8359319641585745,3.4080873687986015,3.982026763594065,0.5325107196923036,0.6001041746371862
NGC1705,2.89,71.5,-0.3208207057114299,-1.2154321188801172,0.47772645771305283,0.060893071544561014,7.845333559228603,0.8946114131686872,3.2752666620910533,3.7479234108276174,0.5152466646820334,0.5737907074572572
NGC1705,3.34,71.1,-0.388542211909075,-1.343974049329906,0.4087500211037239,0.04529246429848278,9.024680538687676,0.9554318374208309,3.283860110096854,3.688838360642954,0.516384648232112,0.5668896255117559
NGC1705,3.78,71.4,-0.4386303228419198,-1.455229451897989,0.364224937255368,0.035056660927614024,10.389607213517278,1.0165991290560692,3.422848991178081,3.784154035451249,0.5343877394111074,0.5779688062141494
NGC1705,4.22,71.5,-0.4852353139165559,-1.5380006413798146,0.3271633798082281,0.02897339308815916,11.291855904234191,1.0527653274632587,3.3695317738574784,3.694281741936754,0.5275695560173842,0.5675300135467027
NGC1705,4.66,71.5,-0.5283087796448822,-1.6086243200136645,0.2962724169078804,0.02462496829367903,12.031382675279644,1.0803155403687823,3.2703457153774234,3.5645668239487005,0.5145936653038673,0.5520067607239001
NGC1705,5.11,71.3,-0.5707767869880249,-1.6699069982714634,0.26867249787073044,0.021384199711223927,12.564066062744088,1.0991302112834385,3.1087279185260357,3.3756190124903274,0.49258271347015853,0.5283534242954135
NGC1705,5.56,71.8,-0.6013608496545001,-1.727477443320024,0.2504027824180685,0.01872934358220395,13.36954396287511,1.1261165936655237,3.098928532638813,3.3477710079646172,0.4912115606734572,0.5247557440110238
NGC1705,6.0,71.5,-0.6380741133385257,-1.7514844913415188,0.23010491046512044,0.017722113296820816,12.984055942492995,1.1134103780029931,2.759066488247052,2.9876950301214653,0.44076216627508297,0.4753362646644674
NGC2915,0.34,13.5,-0.8393463266092862,-0.091724366064341,0.1447616996048184,0.8096095715403185,0.17880433321632153,-0.7476219605449452,,0.025884019173100993,,-1.5869682871542314
NGC2915,0.67,31.3,-0.4035210741649727,-0.2966067947836399,0.3948925367007527,0.5051184189884427,0.7817820967439083,-0.10691427938133279,,0.3087199153304352,,-0.5104353535463054
NGC2915,1.0,35.3,-0.4729855357813981,-0.4881300640632213,0.33652277711162243,0.32498995365719285,1.0354867075878742,0.015144528281823165,0.028557262810207547,0.3484648624996419,-1.5442834216644605,-0.45784100749957496
NGC2915,1.34,50.5,-0.2890569886845281,-0.6523507332537013,0.513976202534013,0.22266362067873036,2.308307935383851,0.3632937445691732,0.6906991419127029,1.1864153469077194,-0.16071108353751837,0.07423675588464498
NGC2915,1.68,61.0,-0.223184558261372,-0.8017757740465735,0.5981573474362794,0.1578425999657406,3.789581187626839,0.5785912157852015,1.6817005339047544,2.2667658310852956,0.22574866206130317,0.35540665752382955
NGC2915,2.01,66.5,-0.2260877133713228,-0.9286652315519672,0.5941721430333078,0.11785140608222669,5.041706015953216,0.7025775181806444,2.411266121879515,2.9956412680428426,0.3822451443823316,0.47648980480932157
NGC2915,2.34,74.4,-0.1946049328754286,-1.0384396106996998,0.6388443631208646,0.09152935233727273,6.979666596643374,0.8438346778242712,3.827694633756428,4.458920661728608,0.5829372832938228,0.6492297449488427
NGC2915,2.67,83.0,-0.1568900231694706,-1.1369595387606943,0.6968029438847163,0.07295254736550631,9.5514545968299,0.9800695155912238,5.964754400594541,6.65548168145228,0.7755925662523894,0.8231794924217531
NGC2915,3.01,86.4,-0.1740739571931,-1.233620065875306,0.6697705426500145,0.058395574326338226,11.4695428613659,1.059546108682206,7.017055677229688,7.6819619462046385,0.8461549224768974,0.8854721514891061
NGC2915,3.35,83.6,-0.2491671987158557,-1.320538499398341,0.5634207031408083,0.04780369871806343,11.786131999194245,1.0713713006824852,6.08111215143092,6.640550778296402,0.7839830129996542,0.8222041019666295
NGC2915,3.68,79.8,-0.3303769825291021,-1.3844630337539054,0.46732930728141453,0.04126073559049622,11.326247595766487,1.0540860512248034,4.829195061990838,5.293087443027339,0.6838747478802234,0.7237090686957013
NGC2915,4.02,82.8,-0.336700326071753,-1.4328254315875788,0.46057427159177705,0.03691259421099985,12.477428949020528,1.0961251055158259,5.289283454407026,5.746782749533282,0.7233968416240567,0.7594247794440729
NGC2915,4.35,83.5,-0.3636512525444764,-1.4669501788729649,0.4328612880799665,0.03412320546254835,12.685246951815529,1.1032989263284885,5.060933689162138,5.490952335175339,0.7042306470065473,0.7396476737840121
NGC2915,4.68,80.4,-0.4282687021342646,-1.499092935556967,0.37301929579208654,0.03168889273440105,11.77129472205072,1.0708242334227025,4.020540472692011,4.390920067780465,0.6042844382910145,0.6425555312884379
NGC2915,5.02,80.3,-0.4598075731447006,-1.5372153380745432,0.3468905163823647,0.029025830975177833,11.951096824032938,1.0774077649298426,3.801249528280799,4.145722148624425,0.5799263792580593,0.6176001917851421
NGC2915,5.35,82.1,-0.4682024143393901,-1.5803348481903898,0.3402495704989058,0.026282407936035354,12.945905539819108,1.1121324338509997,4.066778722255263,4.4048387996428575,0.6092505426239376,0.6439300195116097
NGC2915,5.69,82.4,-0.4917927895578828,-1.6279460805745491,0.32226059932642026,0.02355341690989896,13.682116720439893,1.1361532910166663,4.088908754614999,4.409207134382996,0.6116074192338784,0.6443605014587837
NGC2915,6.03,80.9,-0.5329552154726499,-1.6724262569048576,0.2931195495087962,0.021260513175553133,13.787040185175123,1.1394710414322076,3.7499026659279555,4.041251008138202,0.57401999514132,0.6065158259595577
NGC2915,6.36,79.0,-0.5767378796245742,-1.701204838567004,0.2650099135193799,0.019897346429111798,13.318857087980538,1.1244669589424297,3.2662768588274487,3.529629165062702,0.5140529939845491,0.5477290793178554
NGC2915,6.69,81.4,-0.572712254546464,-1.7161029594792558,0.26747780183235587,0.019226358698956215,13.912036388194352,1.1433907049327918,3.455284861192436,3.7211609121259728,0.5384838573670139,0.5706784503863279
NGC2915,7.02,79.7,-0.6119554158946238,-1.7213100235199774,0.24436814049651767,0.018997216689393505,12.863365433577062,1.1093546076253535,2.900611134142418,3.1433966915304086,0.46248950970024705,0.4973991917307299
NGC2915,7.36,77.5,-0.6568093558819215,-1.7280189356405955,0.22038937034464268,0.018706005786745118,11.781743941339327,1.071209579758674,2.377739979277927,2.596571128793583,0.376164360064376,0.4144002238767526
NGC2915,7.7,79.9,-0.6499321131015424,-1.7523607312349447,0.22390711124223775,0.01768639290838468,12.659851695146328,1.1024286181334024,2.6121970778278714,2.834630821815361,0.4170059392892526,0.4524965050318599
NGC2915,8.03,81.5,-0.6509352743557709,-1.7674579139222084,0.2233905130985388,0.01708213249476727,13.077437092059174,1.1165226395664374,2.699407929658481,2.921375382008962,0.43126851931488563,0.46558736521066657
NGC2915,8.37,82.2,-0.6615167694702024,-1.778764795382508,0.21801342137502594,0.01664313763130852,13.099298113410194,1.1172480259123057,2.639195868878186,2.8558227993159795,0.421471622738556,0.45573125644210327
NGC2915,8.7,82.0,-0.6804264944082283,-1.7912480279745455,0.20872453663090787,0.016171562070343773,12.906887765262793,1.1108215335663172,2.4866068235929717,2.69398416815161,0.395607121078978,0.4303950391580888
NGC2915,9.03,84.7,-0.6684558762091352,-1.799278200960608,0.21455770927640794,0.015875294809779537,13.51519526706588,1.1308223247514728,2.686554178100409,2.899789336925006,0.4291956031450984,0.4623664485423377
NGC2915,9.37,86.1,-0.6702682345375119,-1.8132108601969792,0.2136642021589659,0.015374080112750169,13.897690176712947,1.1429426256594672,2.757055497514372,2.9694388834598695,0.4404455082246236,0.47267439112195525
NGC2915,9.7,85.3,-0.6934086184882421,-1.8227760593808608,0.20257758129814427,0.015039172495850767,13.469995197809881,1.1293674408926189,2.527394357559175,2.728719047269944,0.4026730115872886,0.4359588224043766
NGC2915,10.04,86.5,-0.6962364444364153,-1.841681111250664,0.20126282094402742,0.014398554306609326,13.977988113128992,1.1454446668142486,2.613186046859717,2.813249318770424,0.4171703306030312,0.44920822237783326
NGC3741,0.23,13.1,-0.6957201912631076,-1.0652625058984004,0.20150220770614144,0.0860473488504476,2.341759628833623,0.36954231463529286,0.27742829168442473,0.4718697351270894,-0.55684925236184,-0.32617787662781467
NGC3741,0.47,17.3,-0.7645405982351698,-1.1654885733133216,0.17197265721515195,0.06831426918544639,2.517375348747621,0.4009479750781517,0.2665677152851786,0.4329197279320482,-0.5741924502804753,-0.3635926231570182
NGC3741,0.7,23.6,-0.667808980631087,-1.3004108275103503,0.21487753801329326,0.0500713352067988,4.291428161957956,0.6326018468792635,0.7114119481146411,0.9221315180024379,-0.14787884514309327,-0.03520713375182357
NGC3741,0.93,26.2,-0.7004153124714875,-1.416435903211141,0.19933551730069904,0.038332231011755806,5.200206511318541,0.7160205907396536,0.8404374187530981,1.0365858550041447,-0.07549461976415858,0.015605278268166163
NGC3741,1.17,27.4,-0.7612196826624289,-1.5278301857932275,0.17329271955450784,0.029659908998470763,5.842658504563944,0.7666105031307987,0.8416647722845833,1.0124901816841596,-0.07486084975481748,0.005390820468369752
NGC3741,1.4,26.9,-0.8551584222304652,-1.616418090686633,0.13958590857673728,0.02418699469287667,5.771114202040439,0.7612596684561679,0.6679922498815118,0.8055662193919269,-0.1752285762268777,-0.09389875377429738
NGC3741,1.64,27.4,-0.9078776689639652,-1.6874811719511171,0.12362956212120375,0.02053614055236706,6.020097194307224,0.779603502987152,0.622340943110548,0.7442619800592895,-0.2059716263302297,-0.1282741659768132
NGC3741,1.87,31.0,-0.8576531654249969,-1.7519592389993115,0.13878637567799526,0.017702751008807992,7.839819675989466,0.8943060735743146,0.9507476399612506,1.088060158799613,-0.02193474396326721,0.036652908149317626
NGC3741,2.1,32.5,-0.8669875193332138,-1.807685595203844,0.1358352482084536,0.015570924711071202,8.723646843650355,0.9406980758706301,1.0504401019916072,1.184978734290139,0.021371293185405087,0.07371055653741627
NGC3741,2.33,33.0,-0.8988629878272872,-1.829878554097606,0.1262225681501029,0.014795220631717412,8.53130691944613,0.9310155662703187,0.9518528783300088,1.076843469049234,-0.021430172484265066,0.03215257844303149
NGC3741,2.57,36.5,-0.8538823409753883,-1.8405897662795512,0.13999665500204767,0.014434782144503494,9.698563760822388,0.9867074253041629,1.2189720164615778,1.3577664848392137,0.08599373577767878,0.13282508432877452
NGC3741,2.8,38.9,-0.835793775247847,-1.8420679731266585,0.1459507142779982,0.014385734038892158,10.14551734957821,1.0062741978788114,1.335992955629105,1.4807455038907626,0.12580416821477108,0.17048042263096438
NGC3741,3.26,41.5,-0.8456563532007969,-1.870455625748316,0.14267360890891043,0.013475484047297011,10.587642596595906,1.0247992725475192,1.3690259747349673,1.510577179094045,0.13641168814644397,0.17914291934672222
NGC3741,3.73,42.7,-0.8793880283156831,-1.9091487499944948,0.13201156257628557,0.012326825554057006,10.709291049619658,1.0297607216788118,1.2827654250546117,1.4137502455445206,0.10814724568238121,0.15037269336312875
NGC3741,4.21,44.7,-0.8922019961288385,-1.92091877225152,0.12817342923609693,0.011997236710470245,10.683579254899358,1.0287167761226814,1.2421768474902486,1.3693509896160758,0.09418343031853806,0.1365147799938428
NGC3741,4.67,46.7,-0.8992180659909311,-1.9443643064081104,0.12611941104665608,0.01136673391292665,11.095483717026987,1.0451462404171794,1.274183266096652,1.399355871669206,0.10523189717546354,0.14592817442624825
NGC3741,5.14,48.5,-0.9080145883477916,-1.9702674624876413,0.12359059175401263,0.010708596077290054,11.541250679546483,1.0622528741398496,1.3036914259341512,1.4263900010665502,0.11517480928498958,0.15423828579205812
NGC3741,5.61,50.0,-0.9195577991411672,-2.0103912049498973,0.12034892098334654,0.009763573389378576,12.326319082547135,1.0908334058087301,1.3639236202794054,1.4834592012809817,0.13479005051110354,0.17127560666756297
NGC3741,6.07,50.2,-0.9503162033422622,-2.052349611297992,0.11212018267042081,0.008864421301663684,12.648336406278204,1.10203340795573,1.3067520569698758,1.4181337883488463,0.11619319239707987,0.15171720461346785
