galaxy,N_points,R_min_kpc,R_max_kpc,inner_Ups_med,outer_Ups_med,ratio_outer_inner,slope_logU_logR,slope_se,slope_sig_z,mannwhitney_p_outer_greater,outer_g_obs_med_a0,outer_gc_dmond_med_a0
ESO444-G084,7,0.26,4.44,6.047623258997576,11.307776448183969,1.869788504328606,0.3142899064198612,0.1299012031639662,2.4194533904597684,0.02857142857142857,0.31719335002019816,3.58675149287897
NGC2915,30,0.34,10.04,11.39767003637525,13.20862140896481,1.1588878575015749,1.1252007451803028,0.09165611616662715,12.276330181116695,0.0003274002942632399,0.2191981766884096,2.877806068120493
NGC1705,14,0.22,6.0,5.3669964415373235,12.294839842729475,2.2908231776669,0.4573989204841463,0.06741045238273435,6.785281871232459,0.000333000333000333,0.28213516317686926,3.470092918219514
NGC3741,21,0.23,7.0,5.930714296829737,11.541250679546481,1.9460136000339547,0.5471190060986937,0.02528240137526973,21.640310110489125,7.174335001265309e-05,0.12359059175401263,1.4181337883488463
