scenario,n_sample,n_imputed,b_alpha,SE_b_alpha,delta_vs_baseline_abs,delta_vs_baseline_rel,notes
A0_baseline,124,0,0.10844297914925204,0.015846544329708338,0.0,0.0,"canonical mean(V^2/r) aggregation, NaN g_obs excluded by filter 3 (finite delta_primary); 3-feature partial OLS (precondition Q5 beta target b_alpha=0.108442979149252, SE=0.0153)"
A1_median_V2r,124,0,0.07090347738579486,0.01740779807283192,-0.037539501763457175,-0.34616811579651346,"median(V^2/r) aggregation alternative to mean, NaN g_obs filter 3 exclusion preserved"
A2_min_fill,127,3,0.1286388666209468,0.021933075991012664,0.020195887471694776,0.1862350852967513,"NaN g_obs (sparc_171) -> min(valid)=9.470013e+01; pool-level imputed n=7, in-OLS-sample imputed n=3; log-finite, no extrapolation (refinement Q2 corrected from zero_fill)"
A3_mean_fill,127,3,0.09452578179549599,0.016738378687435548,-0.013917197353756044,-0.1283365457398727,"NaN g_obs (sparc_171) -> mean(valid)=1.698537e+03; pool-level imputed n=7, in-OLS-sample imputed n=3; neutral aggregate baseline imputation"
A4_knn_impute,127,3,0.10105213290715381,0.016070964817672475,-0.007390846242098223,-0.06815421616115938,"k=5 KDTree imputation on [log_Mstar,log_Mgas,log_hR,log_SBdisk0], sklearn-free (scipy.spatial.KDTree), mean_dist_to_nn=1.0268; pool-level imputed n=7, in-OLS-sample imputed n=3; k-sensitivity falsification path: vary k in {3,5,10}"
