# Combined Bin 1 [8.5,10.3)
# g_bar  g_obs  g_obs_err  N_pairs
1.328309e-15  7.006908e-13  1.980813e-13  44291344
2.343673e-15  8.037815e-13  1.661126e-13  25244454
4.135186e-15  8.275519e-13  2.643054e-13  14340307
7.296137e-15  6.077926e-13  3.191137e-13  8152733
1.287333e-14  1.732185e-12  4.624416e-13  4639327
2.271376e-14  2.729592e-12  6.252771e-13  2636356
4.007624e-14  3.166866e-12  8.658915e-13  1497086
7.071068e-14  4.237606e-12  8.635682e-13  847613
1.247622e-13  4.909323e-12  1.370469e-12  478347
2.201309e-13  5.465737e-12  1.721959e-12  267963
3.883998e-13  9.273718e-12  2.826682e-12  146864
6.852941e-13  1.466708e-11  2.955345e-12  75647
1.209136e-12  2.113300e-11  3.050114e-12  35100
2.133404e-12  4.265725e-11  9.928226e-12  10966
3.764185e-12  4.739457e-11  4.911155e-11  188
