# G09: 49272 lenses, 175735166 pairs
# g_bar  g_obs  g_obs_err  N_pairs
1.328309e-15  9.564074e-13  1.886682e-13  69148496
2.343673e-15  1.047180e-12  2.520887e-13  45766658
4.135186e-15  1.066366e-12  2.566632e-13  26166620
7.296137e-15  1.306733e-12  2.900350e-13  14946611
1.287333e-14  1.909367e-12  1.673581e-13  8511235
2.271376e-14  2.537917e-12  2.990647e-13  4858707
4.007624e-14  3.408657e-12  5.080213e-13  2757167
7.071068e-14  5.071137e-12  5.677024e-13  1568321
1.247622e-13  7.626086e-12  6.419924e-13  891854
2.201309e-13  9.556156e-12  7.905373e-13  509939
3.883998e-13  1.258582e-11  1.591406e-12  287696
6.852941e-13  1.650317e-11  1.437484e-12  161293
1.209136e-12  2.256472e-11  2.962849e-12  88842
2.133404e-12  2.615836e-11  4.553514e-12  47726
3.764185e-12  3.570864e-11  4.922323e-12  24001
