# G12: 55402 lenses, 183585957 pairs
# g_bar  g_obs  g_obs_err  N_pairs
1.328309e-15  5.673880e-13  1.396686e-13  72979496
2.343673e-15  8.816275e-13  1.777451e-13  47677788
4.135186e-15  1.139765e-12  1.863078e-13  27155260
7.296137e-15  1.098145e-12  2.581241e-13  15466024
1.287333e-14  1.857192e-12  2.304681e-13  8803295
2.271376e-14  2.794341e-12  3.222798e-13  5002519
4.007624e-14  3.337337e-12  4.822121e-13  2841117
7.071068e-14  6.073123e-12  9.206867e-13  1612138
1.247622e-13  5.647506e-12  7.562708e-13  915201
2.201309e-13  8.126955e-12  7.353244e-13  517589
3.883998e-13  1.199967e-11  7.611894e-13  292693
6.852941e-13  1.510037e-11  1.531310e-12  163308
1.209136e-12  2.246997e-11  1.795837e-12  89388
2.133404e-12  3.027053e-11  3.644725e-12  46960
3.764185e-12  3.244727e-11  4.244151e-12  23181
