# Combined Bin 4 [10.8,11.0)
# g_bar  g_obs  g_obs_err  N_pairs
1.328309e-15  8.345411e-13  1.815713e-13  40568451
2.343673e-15  1.019547e-12  2.011059e-13  39979259
4.135186e-15  1.279164e-12  1.848721e-13  22816018
7.296137e-15  1.348519e-12  2.660926e-13  13013335
1.287333e-14  2.190803e-12  2.503217e-13  7402592
2.271376e-14  2.898181e-12  2.909295e-13  4217928
4.007624e-14  4.119331e-12  4.468329e-13  2392749
7.071068e-14  6.298349e-12  6.908920e-13  1358109
1.247622e-13  6.814884e-12  8.678492e-13  773532
2.201309e-13  1.030547e-11  1.030178e-12  439611
3.883998e-13  1.228521e-11  1.154637e-12  251199
6.852941e-13  1.727871e-11  1.721660e-12  142917
1.209136e-12  2.357595e-11  2.250238e-12  80951
2.133404e-12  3.300806e-11  4.051479e-12  46168
3.764185e-12  4.091888e-11  3.710566e-12  26577
