# Combined Bin 2 [10.3,10.6)
# g_bar  g_obs  g_obs_err  N_pairs
1.328309e-15  7.349666e-13  1.273436e-13  55268483
2.343673e-15  1.021195e-12  1.766693e-13  31581468
4.135186e-15  7.664177e-13  2.412992e-13  18005494
7.296137e-15  1.127508e-12  3.467670e-13  10257985
1.287333e-14  1.397574e-12  3.566137e-13  5838369
2.271376e-14  2.497803e-12  5.053194e-13  3324040
4.007624e-14  3.608074e-12  5.005970e-13  1887155
7.071068e-14  4.058509e-12  7.440284e-13  1071669
1.247622e-13  6.294601e-12  1.165274e-12  611488
2.201309e-13  8.547485e-12  1.382079e-12  348226
3.883998e-13  1.023489e-11  1.746079e-12  196173
6.852941e-13  1.410358e-11  2.471699e-12  110959
1.209136e-12  1.860637e-11  2.428640e-12  63215
2.133404e-12  3.123631e-11  4.529283e-12  35653
3.764185e-12  2.356141e-11  6.150605e-12  16276
